2562, Sat,11,Jul,2020, 09,10,14,17,32,58,22,   7548573,    0,   Merlin   , 10 
2561, Wed, 8,Jul,2020, 05,18,22,31,50,59,30,   5423577,    0,   Merlin   , 10 
2560, Sat, 4,Jul,2020, 32,33,34,48,52,57,13,   4076461,    0,   Arthur   ,  9 
2559, Wed, 1,Jul,2020, 01,08,24,27,29,55,04,   2000000,    0,   Arthur   ,  9 
2558, Sat,27,Jun,2020, 02,15,19,33,37,43,12,   7500000,    2,   Arthur   , 11 
2557, Wed,24,Jun,2020, 01,08,33,50,52,57,41,  12867635,    0,   Arthur   , 11 
2556, Sat,20,Jun,2020, 07,21,26,30,40,48,13,  10962695,    0,   Merlin   , 10 
2555, Wed,17,Jun,2020, 02,09,33,39,48,54,43,   8705423,    0,   Merlin   , 10 
2554, Sat,13,Jun,2020, 10,12,19,21,35,51,42,   7255444,    0,   Merlin   ,  9 
2553, Wed,10,Jun,2020, 20,26,50,51,55,57,40,   5157518,    0,   Merlin   ,  9 
2552, Sat, 6,Jun,2020, 03,06,12,17,35,40,33,   3800000,    0,  Guinevere ,  8 
2551, Wed, 3,Jun,2020, 01,02,05,11,14,33,48,   2000000,    1,  Guinevere ,  8 
2550, Sat,30,May,2020, 02,06,08,32,33,35,45,   7484179,    1,  Guinevere ,  7 
2549, Wed,27,May,2020, 04,07,19,23,34,38,46,   5333552,    0,  Guinevere ,  7 
2548, Sat,23,May,2020, 15,37,38,42,45,59,54,   4013092,    0,  Lancelot  ,  6 
2547, Wed,20,May,2020, 07,24,26,37,40,57,44,   2000000,    0,  Lancelot  ,  6 
2546, Sat,16,May,2020, 04,20,21,44,48,52,34,  10848734,    1,  Lancelot  ,  5 
2545, Wed,13,May,2020, 14,16,19,31,38,47,20,   8556588,    0,  Lancelot  ,  5 
2544, Sat, 9,May,2020, 07,18,21,26,42,50,59,   7101234,    0,  Guinevere ,  8 
2543, Wed, 6,May,2020, 23,29,32,48,49,51,13,   5060015,    0,  Guinevere ,  8 
2542, Sat, 2,May,2020, 14,18,23,39,44,52,47,   3800000,    0,  Guinevere ,  7 
2541, Wed,29,Apr,2020, 16,17,32,36,40,47,04,  12384648,    0,  Guinevere ,  7 
2540, Sat,25,Apr,2020, 03,09,21,25,28,59,36,  10534194,    0,  Lancelot  ,  6 
2539, Wed,22,Apr,2020, 03,08,18,47,50,59,12,   8381216,    0,  Lancelot  ,  6 
2538, Sat,18,Apr,2020, 03,06,31,43,46,53,26,   7006533,    0,  Lancelot  ,  5 
2537, Wed,15,Apr,2020, 25,37,38,43,54,57,17,   5034166,    0,  Lancelot  ,  5 
2536, Sat,11,Apr,2020, 20,28,30,31,44,55,50,   3800000,    0,  Guinevere ,  4 
2535, Wed, 8,Apr,2020, 01,04,19,20,41,45,07,  11735036,    0,  Guinevere ,  4 
2534, Sat, 4,Apr,2020, 04,22,28,39,45,49,25,  10108907,    0,  Guinevere ,  3 
2533, Wed, 1,Apr,2020, 04,16,17,22,27,52,30,   8061599,    0,  Guinevere ,  3 
2532, Sat,28,Mar,2020, 08,14,27,33,46,49,11,   6777904,    0,  Lancelot  ,  2 
2531, Wed,25,Mar,2020, 11,24,25,39,53,57,09,   4940167,    0,  Lancelot  ,  2 
2530, Sat,21,Mar,2020, 12,26,29,34,56,58,41,   3800000,    0,  Lancelot  ,  1 
2529, Wed,18,Mar,2020, 03,07,11,19,27,52,05,   1000000,    2,  Lancelot  ,  1 
2528, Sat,14,Mar,2020, 07,22,30,38,42,47,14,   4037783,    1,  Guinevere ,  4 
2527, Wed,11,Mar,2020, 10,39,45,46,52,54,12,   2000000,    0,  Guinevere ,  4 
2526, Sat, 7,Mar,2020, 05,29,35,36,40,44,42,  11578001,    0,  Guinevere ,  3 
2525, Wed, 4,Mar,2020, 04,07,14,19,50,56,08,   9065390,    0,  Guinevere ,  3 
2524, Sat,29,Feb,2020, 25,32,34,52,55,58,09,   7629623,    0,  Lancelot  ,  2 
2523, Wed,26,Feb,2020, 19,20,27,49,52,57,04,   5446003,    0,  Lancelot  ,  2 
2522, Sat,22,Feb,2020, 21,23,25,27,36,47,17,   4098400,    0,  Lancelot  ,  1 
2521, Wed,19,Feb,2020, 07,18,21,27,28,48,10,   2000000,    0,  Lancelot  ,  1 
2520, Sat,15,Feb,2020, 10,11,33,41,45,54,18,   3800000,    1,  Guinevere ,  4 
2519, Wed,12,Feb,2020, 02,03,05,27,51,54,06,   5051768,    1,  Guinevere ,  4 
2518, Sat, 8,Feb,2020, 08,35,42,43,54,59,21,   3800000,    0,  Guinevere ,  3 
2517, Wed, 5,Feb,2020, 20,31,39,42,43,48,01,   2000000,    1,  Guinevere ,  3 
2516, Sat, 1,Feb,2020, 07,42,44,47,58,59,52,  11574206,    0,  Lancelot  ,  2 
2515, Wed,29,Jan,2020, 07,23,40,42,47,59,58,   9013157,    0,  Lancelot  ,  2 
2514, Sat,25,Jan,2020, 18,30,33,39,54,55,21,   7549456,    0,  Lancelot  ,  1 
2513, Wed,22,Jan,2020, 19,23,25,29,30,36,14,   5343030,    0,  Lancelot  ,  1 
2512, Sat,18,Jan,2020, 14,29,35,41,42,55,11,   4043416,    0,  Guinevere , 11 
2511, Wed,15,Jan,2020, 15,25,50,52,54,55,28,   2000000,    0,  Guinevere , 11 
2510, Sat,11,Jan,2020, 27,28,46,51,55,57,14,   7244823,    1,  Guinevere , 10 
2509, Wed, 8,Jan,2020, 02,23,42,47,50,59,32,   5108359,    0,  Guinevere , 10 
2508, Sat, 4,Jan,2020, 03,13,14,34,50,51,11,   3800000,    0,  Lancelot  ,  9 
2507, Wed, 1,Jan,2020, 13,20,30,38,50,55,05,   5374793,    1,  Lancelot  ,  9 
